film_name,PC0,PC1,PC2,PC3,PC4
castle_in_the_sky,-0.006852010170968154,-0.011115342676086505,-0.01739746718014144,0.058523329696689615,0.002068907535194098
grave_of_the_fireflies,-0.005770375133332106,-0.00833388531132668,-0.009178745154738311,-0.007775954236186693,0.0018782707200586985
howls_moving_castle,-0.010101698339653272,-0.020174480981208588,0.07231957838702913,0.007676471038069726,-0.015223834409535963
kikis_delivery_service,-0.005265978737498376,-0.008249561952843753,-0.006775660021925841,-0.004504288494926205,9.186264235548475e-06
my_neighbor_totoro,-0.0365940364309279,0.09785862040672906,0.006432014296942932,0.0012609146876578568,-0.00015854738469537374
nausicaa,-0.006233556732984641,-0.009712643962267438,-0.011632628829284515,-0.006046557422993136,-0.015523244807006197
only_yesterday,-0.005082034931369658,-0.007742338240933198,-0.006857120117325987,-0.00428825263964181,0.00046607547434926157
pom_poko,-0.005809255052989515,-0.009393997225380934,-0.009236150340768062,-0.009034652579070915,0.003017398189638148
ponyo,0.1113645071306948,0.02481532461513083,0.004446628668601142,0.001039442608487378,-0.00011944745739907869
porco_rosso,-0.005328610871026874,-0.007813618222950732,-0.008175149448889056,-0.0022182727297224074,0.0001828327654249837
princess_kaguya,-0.006282346411831294,-0.010365216598846818,-0.012304440625434163,-0.015100624238773246,-0.02405006455775651
princess_mononoke,-0.005371779132995827,-0.008566471064811166,-0.008127119197140703,-0.005279205730404793,-0.0013130130526918765
spirited_away,-0.007294748162563152,-0.012898002524911394,0.014492809297387743,-0.008701175307646098,0.048519676707964
the_wind_rises,-0.0053780770225584085,-0.008308386260292032,-0.008006549734313247,-0.00555117465154041,0.0002458040122208244
